Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Comment
118	Spectrogram 1	1	32.294286158	32.462113809	1213.761	6068.807	0.1678	
119	Spectrogram 1	1	32.548295575	32.738802639	1281.193	5394.495	0.1905	
120	Spectrogram 1	1	32.838592053	32.979204409	1213.761	5596.789	0.1406	
121	Spectrogram 1	1	33.156103824	33.314859710	1483.486	5664.220	0.1588	
122	Spectrogram 1	1	33.460007949	33.623299717	1416.055	5933.945	0.1633	
123	Spectrogram 1	1	33.745768544	33.904524430	1213.761	5731.651	0.1588	
124	Spectrogram 1	1	33.966225678	34.115909799	1281.193	5866.514	0.1497	
125	Spectrogram 1	1	34.215699213	34.469708630	1213.761	4450.459	0.2540	
126	Spectrogram 1	1	34.750933342	34.891545699	1011.468	5731.651	0.1406	
127	Spectrogram 1	1	35.014014525	35.317918649	1281.193	6001.376	0.3039	
128	Spectrogram 1	1	35.440387476	35.680789246	1348.624	6136.239	0.2404	
129	Spectrogram 1	1	35.698932776	35.962013958	1281.193	5461.927	0.2631	
130	Spectrogram 1	1	35.984693370	36.229631023	1213.761	6608.257	0.2449	
131	Spectrogram 1	1	36.361171614	36.597037502	1416.055	6945.413	0.2359	
132	Spectrogram 1	1	36.619716914	36.900941626	1146.330	6810.550	0.2812	
133	Spectrogram 1	1	36.987123393	37.177630456	1281.193	6810.550	0.1905	
134	Spectrogram 1	1	37.186702221	37.372673401	1213.761	5933.945	0.1860	
135	Spectrogram 1	1	37.589291923	37.708328703	1213.761	5933.945	0.1190	
